smiles,value,log_value,init_value
CC[C@@]12CCC(=O)C(Br)=C1c1ccc3[nH]ncc3c1C2,0.7,-0.35667494393873245,0.39479590395535974
CC[C@@]12CCC(=O)C(C(F)(F)F)=C1c1ccc3[nH]ncc3c1C2,0.7,-0.35667494393873245,0.39479590395535974
CCCC[C@@]12CCC(=O)C(C(F)(F)F)=C1c1ccc3[nH]ncc3c1C2,0.9,-0.10536051565782628,0.4323918689148059
CC[C@@]12CCC(=O)C(C3CC3)=C1c1ccc3[nH]ncc3c1C2,0.9,-0.10536051565782628,0.4323918689148059
COc1ccc(NCc2ccc(C(=O)Nc3ccccc3N)cc2)cc1OC,0.7,-0.35667494393873245,0.39479590395535974
CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCN(S(=O)(=O)C(C)C)CC2)cc1,0.5,-0.6931471805599453,0.34446055908730433
COC(=O)c1cc(/C(=C\CCN2CCOC2=O)c2cc(C)c3on(C)c(=O)c3c2)cc(C)c1OC,0.3683,-0.9988574555311174,0.2987271212414198
CCC1=C2c3ccc4[nH]nnc4c3C[C@]2(CC)CCC1=O,0.3,-1.2039728043259361,0.2680424147616348
CC[C@@]12CCC(=O)C(C(F)(F)F)=C1c1ccc3[nH]nnc3c1C2,0.4,-0.916290731874155,0.3110788818253913
CCCC[C@@]12CCC(=O)C(CC)=C1c1ccc3[nH]nnc3c1C2,0.4,-0.916290731874155,0.3110788818253913
Cc1ccccc1CN(CCN(Cc1cncn1C)c1ccc(C#N)cc1)S(=O)(=O)c1cn(C)cn1,0.5433,-0.6100936254246596,0.35688514835574653
C[C@@H](CN1CC(C)(C)c2cc(F)ccc21)NC(=O)[C@H](CC1CCCCC1)NC(=O)N1CCOCC1,0.85,-0.16251892949777494,0.4238411233863308
C[C@@H](CNc1ccc(OC(F)(F)F)cc1)NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@H]1CCCO1,0.9667,-0.03386706951157731,0.44308709685906095
Cc1ccc(Oc2ccc(C(=O)NCCN3CCCC3)cc2NC(=O)Nc2ccccc2)cc1C,0.7,-0.35667494393873245,0.39479590395535974
CC(C)[C@H](N)C(=O)O[C@@H]1[C@@H](CO)O[C@@H](n2ccc(N)nc2=O)[C@]1(C)O.Cl.Cl,0.64,-0.4462871026284195,0.381390165171942
CCc1nc2c(C)cc(C)nc2n1Cc1ccc(-c2c(-c3nn[nH]n3)cnc3ccccc23)cc1,0.68,-0.3856624808119846,0.3904594461244178
CCc1nc2c(C)cc(C)nc2n1Cc1ccc(-c2c(C(=O)O)n(C)c(=O)c3ccccc23)cc1,0.22,-1.5141277326297755,0.2216440686886545
CCCc1nc2c(C)cc(C)nc2n1Cc1ccc(-c2c(C(=O)O)c(N)nc3ccccc23)cc1,0.28,-1.2729656758128873,0.25772126608498297
CCCc1nc2c(C)cc(C)nc2n1Cc1ccc(-c2c(C(=O)O)c(C)nc3ccccc23)cc1,0.33,-1.1086626245216111,0.2823005622333618
CCCc1nc2c(C)cc(C)nc2n1Cc1ccc(-c2c(C(=O)O)c(Cl)nc3ccccc23)cc1,0.3,-1.2039728043259361,0.2680424147616348
O=C(c1cc(Cl)ccc1NS(=O)(=O)c1cccc2nsnc12)N1CCCCC1,0.35,-1.0498221244986778,0.29110294334689596
O=C(c1ccc(I)cc1NS(=O)(=O)c1cccc2nccnc12)N1CCOCC1,0.62,-0.4780358009429998,0.376640644989166
O=C(c1ccc(Br)nc1NS(=O)(=O)c1cccc2nccnc12)N1CCCCC1,0.34,-1.0788096613719298,0.286766485515954
O=C(c1ccc(Br)cc1NS(=O)(=O)c1cccc2nsnc12)N1CCCCC1,0.26,-1.3470736479666092,0.24663491205682223
O=C(c1ccc(Cl)cc1NS(=O)(=O)c1cccc2nsnc12)N1CCCCC1,0.16,-1.8325814637483102,0.17400424395501446
CN1CCCCC1c1nc(O)c(O)c(C(=O)NCc2ccc(F)cc2)n1,0.45,-0.7985076962177716,0.32869890830634213
O=C(CCCCCCCCCCCCc1ccc(C(F)(F)F)cc1)Nc1ccc2nc([N+]34CCC(CC3)CC4)ccc2c1,0.6,-0.5108256237659907,0.37173537537009854
O=C(CCCCCCC(=O)Nc1ccccc1)NO,0.7,-0.35667494393873245,0.39479590395535974
